regions;year;conso;nuc;hyd;fos;eol;sol;autre
Auvergne-Rhône-Alpes;2014;63.6;87.9;28.2;1.1;0.8;0.6;0.8
Bourgogne-Franche-Comté;2014;20.7;0;0.8;0.5;0.4;0.2;0.1
Bretagne;2014;21.6;0;0.6;0.3;1.4;0.2;0.3
Centre-Val de Loire;2014;17.1;77.9;0.1;0.3;1.6;0.2;0.4
Corse;2014;2.1;0;0.5;0.8;0;0.1;0
Grand Est;2014;45.3;85.9;8.7;6.1;4;0.5;0.5
Hauts-de-France;2014;50.1;34.7;0;3.8;3.7;0.1;0.8
Île-de-France;2014;71;0;0;2.1;0;0.1;1.1
Normandie;2014;27.5;72.1;0.1;3;1.1;0.1;0.5
Nouvelle-Aquitaine;2014;41.7;42.5;4.8;0.4;0.8;1.2;1
Occitanie;2014;35.8;14.9;12.9;0.2;2.1;1.3;0.7
Pays de la Loire;2014;26.1;0;0;3.6;1.1;0.4;0.4
Provence-Alpes-Côte d'Azur;2014;39.5;0;10.5;2.4;0.1;1;0.6
France;2014;462.7;415.8;67.5;24.6;17;5.9;7.1
Auvergne-Rhône-Alpes;2015;66.3;90.9;25.8;2;0.8;0.8;0.8
Bourgogne-Franche-Comté;2015;20.8;0;0.7;0.6;0.7;0.2;0.2
Bretagne;2015;21.9;0;0.5;0.4;1.6;0.2;0.4
Centre-Val de Loire;2015;18.1;79.3;0.1;0.3;1.9;0.3;0.5
Corse;2015;2.2;0;0.3;1;0;0.2;0
Grand Est;2015;45.8;85.2;8;7.5;5.2;0.5;0.6
Hauts-de-France;2015;50.4;37.5;0;5.3;5;0.1;0.9
Île-de-France;2015;73.2;0;0;2.4;0;0.1;1
Normandie;2015;27.8;64.8;0.1;3.4;1.3;0.1;0.5
Nouvelle-Aquitaine;2015;43.2;40.4;3.6;0.7;0.9;1.8;1.3
Occitanie;2015;37.1;18.8;10.6;0.3;2.3;1.6;0.7
Pays de la Loire;2015;26.6;0;0;3.9;1.2;0.4;0.4
Provence-Alpes-Côte d'Azur;2015;40.8;0;8.7;5.2;0.1;1.2;0.6
France;2015;474.1;416.8;58.8;33;21.1;7.4;7.7
Auvergne-Rhône-Alpes;2016;66.6;75;27.7;2.5;0.9;0.8;0.9
Bourgogne-Franche-Comté;2016;21.8;0;0.9;0.7;0.8;0.2;0.2
Bretagne;2016;22.4;0;0.6;0.6;1.5;0.2;0.3
Centre-Val de Loire;2016;18.4;75.7;0.1;0.3;1.8;0.2;0.4
Corse;2016;2.2;0;0.4;0.9;0;0.2;0
Grand Est;2016;47.1;82.8;9;10.1;4.9;0.5;0.8
Hauts-de-France;2016;51;31.2;0;8.3;4.9;0.1;1
Île-de-France;2016;74;0;0.1;2.3;0;0.1;1.2
Normandie;2016;28.7;57.3;0.1;5.1;1.2;0.1;0.5
Nouvelle-Aquitaine;2016;44;42.2;4.7;0.9;0.9;2.3;1.4
Occitanie;2016;37.8;19.8;11.1;0.3;2.6;1.8;0.7
Pays de la Loire;2016;27.4;0;0;4;1.3;0.4;0.4
Provence-Alpes-Côte d'Azur;2016;41;0;8.8;9;0.1;1.4;0.9
France;2016;482.4;384;63.6;45;21;8.4;8.6
Auvergne-Rhône-Alpes;2017;66.7;80;22.9;2.3;1;0.9;0.8
Bourgogne-Franche-Comté;2017;21.8;0;0.6;0.7;1.1;0.2;0.2
Bretagne;2017;22.3;0;0.6;0.8;1.6;0.2;0.4
Centre-Val de Loire;2017;18.4;74.9;0.1;0.4;1.9;0.3;0.5
Corse;2017;2.3;0;0.4;1;0;0.2;0
Grand Est;2017;47;76.9;8;12.2;5.6;0.5;0.8
Hauts-de-France;2017;50.8;31.4;0;10.9;5.7;0.1;0.9
Île-de-France;2017;72.3;0;0;2.4;0.1;0.1;1.3
Normandie;2017;28.1;53;0.1;5;1.3;0.1;0.5
Nouvelle-Aquitaine;2017;44.1;45.1;3.3;1.1;1.3;2.5;1.6
Occitanie;2017;38.5;17.8;9.4;0.3;3;2.1;0.7
Pays de la Loire;2017;27.3;0;0;6.7;1.3;0.4;0.4
Provence-Alpes-Côte d'Azur;2017;41.3;0;7.7;9.5;0.1;1.5;1.1
France;2017;480.8;379.1;53.2;53.3;24;9.2;9.3
Auvergne-Rhône-Alpes;2018;66;80.2;29.2;1.5;1.1;1;1.1
Bourgogne-Franche-Comté;2018;21.4;0;0.8;0.7;1.3;0.3;0.3
Bretagne;2018;22.5;0;0.6;0.8;1.8;0.2;0.4
Centre-Val de Loire;2018;18.1;74.5;0.1;0.4;2.1;0.3;0.5
Corse;2018;2.3;0;0.7;0.8;0;0.2;0
Grand Est;2018;46.1;80.6;7.3;8.7;6.3;0.7;0.9
Hauts-de-France;2018;50.8;34.6;0;8.9;7.1;0.2;1
Île-de-France;2018;71.7;0;0;1.7;0.1;0.1;1.3
Normandie;2018;28;60.4;0.1;3.4;1.5;0.2;0.5
Nouvelle-Aquitaine;2018;43.9;45.8;4.5;0.9;1.8;3;1.5
Occitanie;2018;38.7;17.2;13.9;0.3;3.3;2.2;0.7
Pays de la Loire;2018;27.4;0;0;4.5;1.6;0.5;0.4
Provence-Alpes-Côte d'Azur;2018;40.5;0;10.5;5.8;0.1;1.6;1.1
France;2018;477.2;393.2;67.8;38.4;28.1;10.4;9.5
Auvergne-Rhône-Alpes;2019;64.6;85.8;26.7;2.1;1.2;1.2;1
Bourgogne-Franche-Comté;2019;21.2;0;0.9;0.8;1.8;0.4;0.3
Bretagne;2019;22.6;0;0.6;0.9;1.9;0.2;0.4
Centre-Val de Loire;2019;18.2;71.6;0.1;0.4;2.6;0.4;0.5
Corse;2019;2.3;0;0.4;1;0;0.2;0
Grand Est;2019;45.7;76.4;8.6;9.6;7.7;0.7;1
Hauts-de-France;2019;49.6;32.1;0;9.9;8.9;0.2;1.1
Île-de-France;2019;70.4;0;0.1;1.7;0.1;0.1;1.3
Normandie;2019;27.8;49.3;0.1;3.1;1.8;0.2;0.5
Nouvelle-Aquitaine;2019;43.5;47.3;3.7;0.9;1.9;3.3;1.6
Occitanie;2019;38.3;17;10;0.3;3.7;2.6;0.7
Pays de la Loire;2019;27.2;0;0;3.4;2;0.6;0.4
Provence-Alpes-Côte d'Azur;2019;40.9;0;8.4;7.6;0.1;1.9;0.9
France;2019;472;379.5;59.6;41.7;33.8;12;9.5
Auvergne-Rhône-Alpes;2020;60.8;77.2;28.6;2.5;1.2;1.4;1
Bourgogne-Franche-Comté;2020;20.2;0;0.7;0.7;2;0.4;0.3
Bretagne;2020;21.9;0;0.6;0.9;2.3;0.3;0.5
Centre-Val de Loire;2020;17.5;65.8;0.1;0.4;3.1;0.4;0.5
Corse;2020;2.2;0;0.5;0.8;0;0.2;0
Grand Est;2020;42.9;63.4;7.7;6.8;8.7;0.7;1
Hauts-de-France;2020;47.3;32.6;0;9.5;11.7;0.2;1.1
Île-de-France;2020;65.8;0;0;1.7;0.1;0.1;1.1
Normandie;2020;26.5;42;0.1;3;2;0.2;0.6
Nouvelle-Aquitaine;2020;41.9;38.2;4.2;0.8;2.4;3.5;1.6
Occitanie;2020;36.8;16.2;11.4;0.3;3.6;2.7;0.7
Pays de la Loire;2020;26;0;0;3;2.4;0.7;0.5
Provence-Alpes-Côte d'Azur;2020;38.8;0;10.8;6.9;0.1;2;0.8
France;2020;448.5;335.4;64.9;37.3;39.7;12.7;9.6
Auvergne-Rhône-Alpes;2021;64.7;84.33;27.5;2.3;1.3;1.5;1
Bourgogne-Franche-Comté;2021;21.3;0;1;0.7;1.9;0.4;0.4
Bretagne;2021;22.7;0;0.6;1;2;0.3;0.5
Centre-Val de Loire;2021;18.2;68.7;0.1;0.4;2.9;0.6;0.5
Corse;2021;2.4;0;0.5;1;0;0.3;0
Grand Est;2021;45.5;61.2;8.4;7.7;7.6;0.8;1.2
Hauts-de-France;2021;49.7;29.8;0;9.3;10.4;0.3;0.9
Île-de-France;2021;69.2;0;0.1;2;0.3;0.2;1.3
Normandie;2021;27.5;65.1;0.1;2.8;1.8;0.2;0.7
Nouvelle-Aquitaine;2021;43.9;36.7;4.7;0.9;2.8;3.8;1.5
Occitanie;2021;38.2;14.8;10.3;0.3;3.5;3;0.7
Pays de la Loire;2021;27.4;0;0;4.7;2.2;0.8;0.5
Provence-Alpes-Côte d'Azur;2021;41.1;0;8.6;5.7;0.2;2.1;0.7
France;2021;471.5;360.7;62;38.6;36.9;14.2;10
Auvergne-Rhône-Alpes;2022;63.9;73.1;22.6;2.9;1.4;2.2;1
Bourgogne-Franche-Comté;2022;19.9;0;0.8;0.6;2;0.7;0.4
Bretagne;2022;21.3;0;0.6;3.8;2.1;0.4;0.5
Centre-Val de Loire;2022;17.5;62.9;0.1;0.4;2.9;1;0.5
Corse;2022;2.3;0;0.4;1.1;0;0.3;0
Grand Est;2022;43.7;37.3;7.4;11.3;8.3;1.3;1.3
Hauts-de-France;2022;47.2;28.2;0;11;11;0.5;0.9
Île-de-France;2022;66.5;0;0.1;2.1;0.3;0.2;1.3
Normandie;2022;26.4;43.4;0.1;2.4;1.8;0.3;0.7
Nouvelle-Aquitaine;2022;41.6;21.9;3.1;1;2.9;4.8;1.5
Occitanie;2022;37.4;12.1;9.1;0.3;3.1;3.9;0.8
Pays de la Loire;2022;26.4;0;0;3.3;2.9;1;0.5
Provence-Alpes-Côte d'Azur;2022;39.9;0;5.5;8.9;0.2;2.7;1.1
France;2022;453.9;279;49.6;49.1;38.9;19.2;10.6
Auvergne-Rhône-Alpes;2023;61;83.6;26.7;1.4;1.5;2.5;1
Bourgogne-Franche-Comté;2023;19.6;0;0.8;0.7;2.7;0.9;0.4
Bretagne;2023;21.4;0;0.6;2.6;2.7;0.5;0.5
Centre-Val de Loire;2023;17.3;56.8;0.1;0.3;3.7;1.1;0.5
Corse;2023;2.3;0;0.6;0.8;0;0.3;0
Grand Est;2023;41.1;55.3;7.8;8.2;11.2;1.4;1.2
Hauts-de-France;2023;46.3;28.7;0;6.7;14.5;0.6;1
Île-de-France;2023;63.2;0;0.1;1.6;0.4;0.3;1.1
Normandie;2023;25.6;54.3;0.1;2.2;2.6;0.3;0.7
Nouvelle-Aquitaine;2023;41;37.2;4.2;0.7;3.5;5.5;1.5
Occitanie;2023;36.1;4.5;9.3;0.3;3.5;4.6;0.9
Pays de la Loire;2023;25;0;0;1.6;4.3;1.3;0.5
Provence-Alpes-Côte d'Azur;2023;38.7;0;8.4;4.8;0.2;3.2;1
France;2023;438.5;320.4;58.8;31.7;50.9;22.5;10.3
Auvergne-Rhône-Alpes;2024;62.9;80.2;32.5;1.1;1.5;2.9;1
Bourgogne-Franche-Comté;2024;19.6;0;1.1;0.6;2.2;1.1;0.4
Bretagne;2024;21.7;0;0.6;1.7;3.4;0.7;0.5
Centre-Val de Loire;2024;17.7;70.5;0.2;0.2;3.2;1.2;0.5
Corse;2024;2.3;0;0.4;0.9;0;0.3;0
Grand Est;2024;41.6;62.4;9.5;3.9;9.2;1.7;1.3
Hauts-de-France;2024;46.2;32.8;0;3.5;12.5;0.6;0.9
Île-de-France;2024;64.7;0;0.1;1.3;0.3;0.3;1.2
Normandie;2024;26.2;60.5;0.1;2.2;3.4;0.4;0.7
Nouvelle-Aquitaine;2024;40.8;38.6;5.6;0.7;3.3;5.8;1.6
Occitanie;2024;35.9;16.7;12.9;0.2;3.7;5.1;1
Pays de la Loire;2024;25.3;0;0;1.4;3.9;1.5;0.5
Provence-Alpes-Côte d'Azur;2024;38.1;0;12.1;2.6;0.2;3.3;1
France;2024;442.3;361.7;75.1;20;46.9;24.8;10.5
